rgn_id,area
1,18.25
2,67.25
3,26
4,76.25
5,2416.75
6,2598
7,6144.25
8,254.25
9,472.25
10,15
11,283.5
12,8.5
13,437.75
14,1433
15,23953.25
16,48027
17,15242
18,3049
19,43.5
20,6978.75
21,2775.5
22,849.5
23,4976.25
24,2533.5
25,383
26,162.75
27,3.5
28,375
29,209
30,6.25
31,2
32,22.75
33,1
34,353.5
35,71.25
36,307.75
37,2039.25
38,5277.75
39,7581.25
40,1177
41,3383
42,2231
43,367.75
44,2901.75
45,2522
46,1094.5
47,5362.25
48,620.75
49,240.5
50,2155.25
51,1767
52,674.25
53,923.5
54,186.75
55,1178
56,70.5
57,7.25
58,1534
59,1895.25
60,1100.25
61,1069.25
62,450.5
63,1043.25
64,1884
65,131.75
66,534.5
67,1898
68,401.25
69,509
70,84024
71,353
72,3587
73,6485.5
74,184
75,234.25
76,247.75
77,10781
78,677.75
79,507.5
80,1341.75
81,41
82,48.75
83,91.25
84,1069.25
85,93
86,141.5
87,36
88,2068
89,105.75
90,4015.5
91,1275
92,715
93,51.75
94,131.25
95,195.5
96,1629.5
97,3256
98,203.5
99,508
100,25
101,655.25
102,8.5
103,69.25
104,5301.5
105,497.25
106,7367
107,181
108,1728
109,1386.25
110,934.25
111,151.25
112,60.5
113,105
114,190.75
115,41.75
116,133.25
117,137.5
118,92.5
119,136
120,582
121,134.25
122,4345.25
123,1655
124,1482.5
125,4671.25
126,1490.5
127,590.5
128,17304.75
129,433.25
130,3860.25
131,2903.5
132,5232.5
133,626.5
134,800.5
135,5588.25
136,128.75
137,57718.5
138,30.25
139,1946.5
140,332.5
141,5
142,267
143,137.5
144,409.25
145,176.25
146,65.25
147,481.5
148,15.75
149,53.5
150,4
151,3.25
152,106
153,12903.5
154,83935
155,916.75
156,722
157,985.5
158,594.25
159,654.5
160,27322
161,6827.25
162,905.25
163,8565
164,4185.25
165,2860.75
166,1627.5
167,826.75
168,5400.5
169,14449.75
170,4398.25
171,4593.25
172,1345.75
173,6756.5
174,5.25
175,223.25
176,3442.75
177,34.25
178,216
179,660.75
180,3740.5
181,98.25
182,2529
183,1348.5
184,664.5
185,2761.75
186,1425.75
187,1636.5
188,121.75
189,2006.75
190,2627
191,10783
192,2825.75
193,9835.75
194,7428.5
195,6984
196,167.75
197,20973.25
198,20299.75
199,354
200,50563.5
201,4082.5
202,25
203,72004.25
204,175147
205,118.25
206,21
207,55.5
208,10439
209,36582.25
210,53488.25
211,60.75
212,57.75
213,701.25
214,14
215,56
216,154.25
217,114.5
218,208.25
219,11
220,17
221,75.25
